source,Course Code,Course Name,Unnamed: 3
humanities,PSY 4110,Research Methods,
humanities,PSY 4117,Cognitive Psychology,
humanities,PSY 4900,Project / Internship,
humanities,PSY 4910,Project / Internship,
humanities,PSY 4181,Fieldwork in Chemical Dependency,
humanities,CJS 1101,Introduction to Criminal Justice Systems,
humanities,CJS 1103,Juvenile Justice,
humanities,CJS 1104,Criminology,
humanities,CJS 2201,Criminal Law,
humanities,CJS 2202,Criminal Procedure,
humanities,CJS 2204,Corrections and Punishment,
humanities,CJS 2205,Ethics in Criminal Justice,
humanities,CJS 2211,Community and Social Justice,
humanities,CJS 3301,Crime and Public Policy,
humanities,CJS 3303,Victimology,
humanities,CJS 3306,Criminal Investigations,
humanities,CJS 3307,Comparative Criminal Justice Systems,
humanities,CJS 3309,Terrorism and International Security,
humanities,CJS 4120,Criminal Evidence,
humanities,CJS 4130,Research Methods in Criminal Justice,
humanities,CJS 4136,International Criminal Law & Procedures,
humanities,CJS 4900,Criminal Justice Project,
humanities,CJS 4910,Criminal Justice Internship,
humanities,CJS 2207,Diversity and Criminal Justice,
humanities,CJS 2210,Crime and Gender,
humanities,CJS 3305,Forensic Science,
humanities,CJS 3312,Community Policing,
humanities,CJS 3313,Information Technology & Crime,
humanities,CJS 4140,Police Administration,
humanities,CJS 4150,Criminal Justice Administration,
humanities,CJS 4125,Seminar in Criminal Justice,
humanities,SOC 1101,Foundations of Sociology,
humanities,SOC 1102,The Social Structure of Society,
humanities,SOC 2214,Social Change,
humanities,SOC 2220,Writing in Sociology,
humanities,SOC 3302,Classical Sociological Theory,
humanities,SOC 3303,Social Research Methods,
humanities,SOC 4401,Modern Sociological Theory,
humanities,SOC 4402,Micro Sociological Theories,
humanities,SOC 4403,Data Analysis and Report Writing,
humanities,SOC 4910,Sociology Internship / Project,
humanities,SOC 2209,Social Problems,
humanities,SOC 2217,Social Inequality,
humanities,SOC 2218,Social Gerontology,
humanities,SOC 3306,Community Development and Social Welfare,
humanities,SOC 3307,Community Leadership,
humanities,SOC 3317,Social Conflict and Resolution,
humanities,SOC 3324,Sociology of Project Planning and Management,
humanities,SOC 3325,Participatory Project Monitoring & Evaluation,
humanities,SOC 4410,Child Protection and Welfare Practices,
humanities,SOC 4414,Rural Sociology,
humanities,SOC 4416,Public Policy and Administration,
humanities,SOC 4421,Special Topics in Sociology,
humanities,SOC 2207,Concepts of Health and Illness,
humanities,SOC 2208,Bioethics,
humanities,PSY 3171,Social Psychology of Health and Care,
humanities,SOC 3309,Sociology of Health and Medicine,
humanities,SOC 3311,Lifestyle Diseases and Illnesses,
humanities,SOC 3312,Sociology of Mental Health and Illness,
humanities,SOC 3318,Healthcare Systems in Developing Countries,
humanities,SOC 4406,Traditional and Alternative Medical Systems,
humanities,SOC 2213,Sociology of the Family,
humanities,SOC 3308,Formal Organizations,
humanities,SOC 3319,Sociology of Work,
humanities,SOC 3320,Urban Sociology,
humanities,SOC 3322,Industrial Sociology,
humanities,MGT 4040,Human Resource Management,
humanities,SOC 4407,Sociology of Occupations and Professions,
humanities,SOC 4418,Labor Relations and Collective Bargaining,
humanities,SOC 2212,Sociology of Gender,
humanities,SOC 2215,Sociology of Religion,
humanities,SOC 2216,Sociology of Education,
humanities,SOC 3313,Political Sociology,
humanities,SOC 3314,Environmental Sociology,
humanities,SOC 3316,Sociology of Development,
humanities,SOC 3321,Race and Ethnic Relations,
humanities,SOC 3323,Social Demography,
humanities,SOC 4412,Collective Behavior and Social Movements,
humanities,SOC 4415,Sociology of Law,
humanities,SOC 4419,Sociology of Mass Communication,
humanities,PSY 1171,Introduction to Health Psychology,
humanities,COM 3000,Organizational Communication,
humanities,GNS 3001,Women and Men in Cross-cultural Perspective,
humanities,IRL 3030,Patterns of Development,
humanities,POL 3110,Public Policy Formulation,
humanities,POL 3120,Public Personnel Administration,
humanities,MGT 4020,Organizations and Organizational Behavior,
science,IST 1020,Introduction to Information Systems,
science,APT 1030,Fundamentals of Programming Languages,
science,MTH 2010,Probability and Statistics,
science,APT 1040,Introduction to Web Applications & Design,
science,IST 2010,Computer Organization & Assembly Programming,
science,IST 2045,Introduction to Computer Networks,
science,APT 2055,Hardware & Software Practicum,
science,IST 2060,Data Structures & Algorithms,
science,IST 3005,Application of Social Media for Business,
science,BUS 3010,Business Law,
science,IST 4020,Systems Analysis and Design,
science,IST 3040,Digital Lab,
science,APT 3050,Introduction to Project Management,
science,IST 3050,Introduction to Security Systems,
science,APT 3080,Management Information Systems,
science,BUS 3020,Productions & Operations Mgt,
science,IST 4030,Database Management Systems,
science,IST 4040,Decision Support Systems,
science,IST 4072,Object Oriented Analysis & Design,
science,IST 4035,Advanced Web Design and Applications,
science,BUS 4070,Business Values and Ethics,
science,IST 4075,Mobile Applications Development,
science,APT 3065,Mid-Term Project,
science,IST 4060,Telecommunications & Networks,
science,IST 4070,Object Oriented Programming,
science,IST 4078,IT Innovation & Entrepreneurship,
science,IST 4900,Information Systems Project,
science,IST 4910,Information Systems Internship,
science,DST 4010,Distributed Systems,
science,NET 4020,Network Management & Security,
science,NET 4030,Internet Architecture and Protocols,
science,APP 4035,Web Application Development Frameworks,
science,NET 4050,Sensor Networks & Internet of Things,
science,APP 4015,Software Engineering,
science,APP 4025,Design & Development of Cloud Applications,
science,APP 4070,System Programming,
science,APP 4080,Collaborative (Team Work In) Software Development,
science,FIC 4010,Information System Security,
science,FIC 4020,Forensic Accounting & Fraud Investigation Security,
science,FIC 4030,Information Systems Audit,
science,FIC 4040,Information Technology & Cybercrime,
science,FIC 4050,Computer Forensics & Investigation,
science,LIT 4815,Oral Literature,
science,SOC 3500,Social Conflict and Resolution,
science,MGT 4030,Cross Cultural Management,
science,MTH 1110,Calculus,
science,MTH 2215,Discrete Mathematics,
science,APT 2010,Systems Analysis & Design,
science,APT 1050,Database Systems,
science,APT 2020,Computer Organization,
science,APT 2022,Introduction to Assembly Programming,
science,APT 2030,Digital Electronics,
science,APT 2040,Operating Systems,
science,APT 2050,Computer Networks & Telecommunications,
science,APT 2060,Data Structures & Algorithms,
science,APT 2080,Introduction to Software Engineering,
science,APT 2090,Computer Graphics,
science,IST 3015,Business Data Analytics,
science,APT 3010,Introduction to Artificial Intelligence,
science,APT 3040,Object Oriented Design & Programming,
science,APT 3060,Mobile Programming,
science,APT 3095,Cloud Computing and Visualization,
science,APT 3025,Applied Machine Learning,
science,APT 3090,Cryptography & Network Security,
science,APT 4900,Applied Computer Technology Project,
science,APT 4910,Applied Computer Technology Internship,
science,SFE 4010,Human Computer Interaction,
science,SFE 4020,Software Design & Architecture,
science,SFE 4030,Software Testing & Quality Assurance,
science,DST 4020,Mobile Computing,
science,DST 4030,Parallel Computing,
science,DST 4040,Digital Wireless Communication & Networks,
science,DST 4050,Embedded Real Time Systems,
science,MTH 1040,Linear Algebra,
science,MTH 1050,Differential Equations,
science,CSI 1060,Introduction to Data Science,
science,MTH 1060,Analytical and Computational Foundation,
science,STA 2010,Advanced Probability & Statistics,
science,MTH 2030,Numerical Analysis and Its applications,
science,MTH 2020,Optimization Techniques,
science,STA 2030,Statistical Inference,
science,CSI 2040,Data Mining and Analytics,
science,CSI 2020,Principles of Machine Learning,
science,STA 2040,Programming with R for Data Science,
science,STA 2050,Sample Surveys,
science,MTH 3010,Mathematical Finance,
science,STA 3010,Statistical Modeling,
science,STA 3030,Designs and Analysis of Experiments,
science,STA 3040,Mathematical Modeling and Simulation,
science,CSI 3030,Big Data Analytics,
science,APT 3020,Knowledge Based Systems,
science,CSI 3050,Big Data Security,
science,STA 3050,Bayesian Inference and Decision Theory,
science,CSI 3070,Advanced Programming for Data Science,
science,CSI 3900,Applied Project in Data Science I,
science,STA 4010,Survival Analysis,
science,STA 4050,Applied Multivariate Statistical Analysis,
science,CSI 4010,Advanced Databases and Query Language,
science,CSI 4030,Designing Intelligent Agents,
science,CSI 4910,Data Science Internship,
science,CSI 4900,Applied Project in Data Science II,
science,DSA 1060,Introduction to Data Science,
science,DSA 1080,Programming for Data Science,
science,STA 1020,Probability and Statistics I,
science,STA 1040,Statistical Computing,
science,DSA 2020,Principles of Machine Learning,
science,DSA 2040,Data Warehousing and Mining,
science,DSA 3010,Artificial Intelligence,
science,DSA 3030,Business Intelligence and Big Data Analytics,
science,DSA 3040,Natural Language Processing,
science,STA 2060,Stochastic Processes,
science,DSA 3060,High-Performance Parallel Machine Learning,
science,DSA 3070,Data Visualization,
science,DSA 3900,Applied Project in Data Science I,
science,DSA 3050,Big Data Security,
science,STA 4020,Time Series Analysis and Forecasting,
science,DSA 4900,Applied Project in Data Science II,
science,DSA 4910,Data Science Internship,
science,STA 3020,Multivariate Statistical Analysis,
science,DSA 3020,Principles of Machine Learning,
science,DSA 4020,Natural Language Processing,
science,DSA 4030,Big Data Security,
science,DSA 4050,Advanced Machine Learning,
science,SWE 1020,Data structure and Algorithms Analysis,
science,IST 3020,Principles of Operating Systems,
science,SWE 2020,Machine Learning and Big Data,
science,SWE 2030,Software Requirements Engineering,
science,SWE 2040,Programming with Frameworks,
science,SWE 3090,Software Engineering Project,
science,SWE 3010,Security and Business Continuity,
science,SWE 3050,Software Verification,
science,SWE 3030,Software Costing and Estimation,
science,SWE 3040,Software Engineering Process,
science,SWE 3020,Software Quality Assurance and Security,
science,SUS 1011,Strategies for University Success,
science,BUS 1011,Introduction to Business Organizations,
science,IST 1021,Introduction to Information Systems,
science,FIL 1011,Fundamentals of Information Literacy,
science,SWE 4900,Software Engineering Capstone Project II,
science,SWE 4070,Advanced Web-Based Systems Development,
science,SWE 4080,Computer and Network Security,
science,SWE 4090,Enterprise Resource Planning Systems,
science,SFE 4015,Software Configuration Management,
science,SWE 4040,Software Construction and Development,
science,SWE 4060,Software Project Planning and Management,
science,SWE 4910,Software Engineering Internship,
business,MTH 2210,Introduction to Applied Statistics,
business,ACT 1010,Principles of Accounting I,
business,HRM 1020,Kitchen Organization & Food Knowledge,
business,BUS 2010,Business Mathematics,
business,HRT 2010,Food Production,
business,BUS 2020,Business Communications,
business,HRM 3020,Catering Management,
business,HRM 3050,Hotel & Rest. Managerial Accounting & Finance,
business,HRM 4015,Food & Beverage Management,
business,MKT 4050,Services Marketing,
business,HRM 4090,Internship/Project,
business,HRM 4900,Internship/Project,
business,HRM 4030,House Keeping and Laundry Mgt,
business,HRM 3040,Hygiene and Nutrition,
business,BUS 4010,Small Business Entrepreneurship,
business,HRM 4020,Front Office Management.,
business,HRM 4025,Hotel Information Systems,
business,HRM 3030,Environmental Management for Hotel,
business,HRM 3025,Physical Plant Development and Maintenance,
business,HRM 3015,Hotel and Catering Laws,
business,HRM 4010,Restaurant Development and Operations,
business,BUS 4080,Business Process Management,
business,HRM 3045,Advanced Food Production,
business,HRM 3035,Beverage and Bar Service Management,
business,GNS 2000,Introduction to Gender Studies,
business,GNS 2001,Communication & Gender,
business,LIT 1106,African Fiction,
business,LIT 2220,Literature & Culture,
business,PHL 1104,Introduction to Philosophy,
business,FAR 3000,Music of the World,
business,FAR 3001,Visual Arts of the World,
business,HIS 3015,20th Century Eastern Africa,
business,HIS 3021,History of Modern Asian Civilization,
business,HIS 3025,History of Kenya,
business,LIT 3330,Literature for Children & Adolescents,
business,LIT 3340,Myths,
business,LIT 3351,Masterpieces of World Literature,
business,PHL 3309,Major Figures in Philosophy,
business,PSY 3150,Courtship & Marriage,
business,SOC 3310,Family & Kinship in a Multicultural Context,
business,IST 2040,Information Systems and Application,
business,ACT 2010,Principles of Accounting II,
business,BUS 3030,Business Statistics,
business,FIN 3010,Principles of Finance,
business,IBA 4010,International Business Operations,
business,IBA 4020,International Economics and Trade,
business,IBA 4910,Internship / Project,
business,IBA 4950,Internship / Project,
business,ACT 3010,Accounting Information Systems.,
business,ACT 4010,Managerial Accounting,
business,ACT 4020,Financial Accounting I,
business,ACT 4030,Financial Accounting II,
business,ACT 4040,Cost Accounting or,
business,ACT 4050,International Accounting,
business,ENT 4020,Management of Entrepreneurial Ventures,
business,ENT 4040,Electronic Commerce,
business,ENT 4050,International Dimensions of Entrepreneurship,
business,ENT 4060,Small Business Consulting,
business,FIN 4050,Financial Information Systems,
business,FIN 4010,International Managerial Finance,
business,FIN 4020,Corporate Finance,
business,FIN 4030,Investments,
business,FIN 4040,Money and Capital Markets,
business,MGT 4010,Dimensions of Leadership and Management,
business,MGT 4050,Total Quality Management,
business,MKT 3020,Marketing Information Systems,
business,MKT 4010,International Marketing,
business,MKT 4020,Marketing Research,
business,MKT 4030,Marketing Communications and Buyer Behavior,
business,BUS 4000,Corporate Law,
business,BUS 4005,Project Management,
business,BUS 4015,Supply Chain Management,
business,ACT 4060,Taxation I,
business,ACT 4110,Taxation II,
business,FIN 4060,Financial Management in the Public Sector,
business,FIN 4910,Internship /Project,
business,FIN 4950,Internship /Project,
business,FIN 4110,Portfolio and Derivatives Management,
business,FIN 4120,Pensions and Insurance,
business,FIN 4130,Financial Analysis and Reporting,
business,FIN 4140,Emerging Issues in Finance,
business,FIN 4150,Financial Modeling,
business,FIN 4210,Real Estate Portfolio Management,
business,FIN 4220,Real Estate Investment Analysis,
business,FIN 4230,Real Estate Economics,
business,FIN 4240,Property Law,
business,FIN 4250,Real Estate Management Consultancy,
business,ECO 4010,Intermediate Micro-economics,
business,ECO 4020,Intermediate Macro-economics,
business,ECO 4030,Economic Development,
business,ECO 4040,Public Finance,
business,ECO 4050,Health Finance and Economics,
business,GLG 1010,Introduction to Leadership and Governance,
business,ECO 1015,Introduction to Economics,
business,GLG 2010,Psychology of Leadership,
business,GLG 2000,Marketing for Business Leaders,
business,GLG 3010,Leadership and Organizational Behavior,
business,GLG 2080,Human Rights and Labour Relations,
business,GLG 3020,Policy Formulation and Analysis,
business,GLG 4030,Communication and Conflict Management,
business,GLG 4090,Global Leadership and Management of change,
business,GLG 4020,Sustainable Social Entrepreneurship,
business,GLG 4910,Internship / Project,
business,GLG 4950,Internship / Project,
business,FIN 4015,Publice Finance and Budgeting,
business,GLG 4015,Constitutional and Administrative Law,
business,GLG 4075,Politics and Administration,
business,GLG 4080,Global Leadership and Democracy,
business,GLG 4085,Advocacy and Lobbying,
business,GLG 4040,Board Leadership and Governance,
business,GLG 4045,Risk Management,
business,BUS 4030,Quantitative Techniques,
business,ACT 4070,Auditing,
business,ACT 4910,Internship /Project,
business,ACT 4950,Internship /Project,
business,ACT 4120,Auditing &Investigations,
business,ACT 4130,Forensic Accounting,
business,ACT 4021,Financial Reporting 1,
business,ACT 4031,Financial Reporting II,
business,ACT 4071,Principles of Auditing,
business,ACT 4131,Public Sector Accounting,
